Words,Meaning
bootaan,bootaan m.dh 1. Bus; habaas. 2. Meesha buska leh. 
bootar,"bootar m.l (-rro, m.dh) ld boodhar."
bootayn,bootayn m.f.dh eeg bootee. ld bootays.
bootays,bootays m.l ld bootayn.
bootee,"bootee f.mg2 (-teeyay, -taysay) U b.: faan iyo hanjabaad been ah cid u jeedin. "
booti,"booti f.g2 (-iyay, -isay) 1. Arday hal fasal ama ka badan gudbin. 2. Ka b.: wax wax kale dul marin iyadoo dhankeeda kale lagu ridaayo. ld boodsii."
bootimaale,bootimaale m.l Tartan lagu tartamo bootin. 
bootimaaleysad,bootimaaleysad m.l ld bootimaaleysasho.
bootimaaleysasho,"bootimaaleysasho m.f.dh eeg bootimaalayso. ld bootimaaleysad, bootimaaleysi."
bootimaaleysi,bootimaaleysi m.l ld bootimaaleysasho.
bootimaaleyso,"bootimaaleyso f.mg3 (-stay, -satay) Tartan bootin ah ka qeybqaadasho. "
bootin,"bootin m.dh eeg booti. ld booddo¹ (1), boodsiin, boodsiis, bootis."
bootis,bootis m.l ld bootin (1).
booto,booto m.dh Faan iyo hanjabaad been ah oo cid lagu cabsi gelinayo. 
bootoole,"bootoole m.l (-tayaal, m.l/dh) Qof faan iyo hanjabaad badan. ld bootaale."
boowe,boowe m.l ld abboowe.
booy¹,booy¹ m.l Ceel biyo badan leh. 
booy²,"booy² f.mg1 (-yay, -yday) ld ooy."
booyaamid,booyaamid m.f.dh eeg booyaan². ld booyaan¹ (2).
booyaan¹,booyaan¹ m.l 1. Hadal badan oo aan duluc lahayn. 2. ld booyaamid.
booyaan²,"booyaan² f.mg1 (-aamay, -aantay, -aami) Hadal badan oo aan duluc lahayn ku hadlid. "
booyad,"booyad m.dh (-do, m.l) 1. Baabuur fuusto weyn xambaarsan oo biyaha, baasiinka, naaftada iwm lagu qaado. 2. Haan weynoo laba lugood oo kuwa baabuurta ah leh oo biyaha lagu kaydsado. "
booyid,booyid m.dh ld ooyid.
boqnagoo,"boqnagoo f.g2 (-ooyay, -oysay) 1. Qof luggoyn. 2. Nafley si loo curyaamiyo feyla jarid. ld boqnajar, boqongoo."
boqnagooyo,boqnagooyo m.dh 1. Luggooyo. 2. Jaridda feylaha la jaro si loo curyaamiyo. ld boqnagoyn.
boqnagoyn,"boqnagoyn m.f.dh eeg boqnagoo. ld boqnagooyo, boqnajarid, boqongooyo, boqongoyn."
boqnajar,"boqnajar f.g1 (-ray, -rtay) ld boqnagoo."
boqnajarid,boqnajarid m.dh ld boqnagoyn. 
boqol,boqol m.l.t Tiro ka kooban toban meelood oo min toban ah; “100”. 
boqolaad,"boqolaad m.l.t.j Tirada jagaalaha ah, tan u dhiganta boqolka. "
boqollaal,boqollaal m.l.t Tiro ka kooban dhawr boqol. 
boqolle,"boqolle m.l (-layaal, m.l/dh) 1. Qof lab ah. 2. Nin aad u fiican. ld boqollow."
boqollow,"boqollow m.l (-wyo, m.dh) ld boqolle."
boqon¹,"boqon¹ m.l (-nno, m.dh) Xarig laga sameeyo seedda boqonta oo lagu xiro qaansada. "
boqon²,"boqon² m.dh (-qno, m.l) Seedda, ciribta iyo muruqa kubka isu haysa. "
boqon³,"boqon³ m.dh (-qno, m.l) (c.nafl.) Xarriiq toosan oo isku xirta laba barood oo ku dul yaalla xood. Tusaale ahaan, xarriijinta isku xirta laba barood oo ku yaalla meeriska goobada waa b.. "
boqondhaw¹,boqondhaw¹ m.l 1. Geed digir meseggo imw oo soo fufay. 2. ld boqondhebid.
boqondhaw²,"boqondhaw² f.g1 (-dhebay, -dhawday; -dhebi) 1. Boqongoyn (qof). 2. Dhir jirid ka jarid. "
boqondhebid,boqondhebid m.f.dh eeg boqondhaw². ld boqondhaw¹ (2).
boqongoo,"boqongoo f.g2 (-ooyay, -ooysay) ld boqnagoo."
boqongooyo,boqongooyo m.dh ld boqnagooyo. 
boqongoyn,boqongoyn m.dh ld boqnagoyn.
boqool¹,boqool¹ m.l ld baqoolid.
boqool²,"boqool² f.mg1 (-oolay, -ooshay) ld baqool²."
boqoole,boqoole m.l Socod la socdo waqtiga qorraxdu aad u kulushahay. ld baqoolid.
boqooli,"boqooli f.g2 (-iyay, -isay) ld baqooli."
boqoolid,boqoolid m.dh ld baqoolid.
boqoolin,boqoolin m.dh ld baqoolin.
boqoolis,boqoolis m.l ld baqoolin.
boqoolsii,"boqoolsii f.g2 (-iiyay, -iisay) ld baqoolsii."
boqoolsiin,boqoolsiin m.dh ld baqoolin.
boqoolsiis,boqoolsiis m.l ld boqoolin.
boqor¹,"boqor¹ m.l (-rro, m.dh) 1. Nin madax u ah tol ama qaran oo xakunkiisu dhaxaltooyo yahay. 2. Maro dhuuban, dheer, qurux badan, dacallada bul ku leh oo haweenku dhexda ku xirtaan. 3. B. ah: neef riyo ah oo dhexda midab ku leh. "
boqor²,"boqor² f.g1 (-qray, -qortay; -qri) Qof boqornimo u caleemo saarid. "
boqorad,"boqorad m.dh (-do, m.l) Haweeney madax u ah tol ama qaran xukunkeedu dhaxaltooyo yahay; marantida boqorka. "
boqornimo,boqornimo m.dh Boqor ahaansho. 
boqortiirshe,"boqortiirshe m.l (-shayaal, m.l/dh) Gacan yaraha boqorka. "
boqortooyo,"boqortooyo m.dh (-ooyin, m.l) 1. Nidaam iyo xukun ka jira dal boqor u taliya. 2. Waddan boqor xukumo. "
boqoshaa,boqoshaa m.l Nooc ka mid ah likaha oo la cuno. 
boqran,"boqran f.mg4 (-naa, -nayd) Qof boqornimo loo caleemo saaray ahaansho. "
boqranaan,boqranaan m.dh eeg boqran. ld boqranaansho.
boqranaansho,boqranaansho m.l/dh ld boqranaan.
boqrasho,boqrasho m.f.dh eeg boqro. 
boqrid,boqrid m.f.dh eeg boqor². 
boqro,"boqro f.mg3 (-raday, -ratay) Qof boqornimo u caleemo saarasho. "
boqshad,boqshad m.dh ld baqshad.
borobogaanda,"borobogaanda m.dh (siyaa.) War iwm oo la xiriira fidin dicaayad ama xayeesiin arrimo siyaasadeed, dhaqaale, ganacsi iwm. "
borojekshan-koombeed,"borojekshan-koombeed m.l (-dyo, m.dh)(juqr.) Khariidad la soo saaro marka warqad koombo oo kale u samaysan lagu wareejiyo galoobka. Khariidadda waxaa lagu xardhaa koombada dusheeda, dabadeedna koombada waa la kala fidiyaa. "
borojekshan-sargo'an,"borojekshan-sargo'an m.l (-no, m.dh) (juqr.) Nooc khariidad brojekshan ah, taas oo u muuqata sida iyadoo galoobka laga arko fogaansho ma dhawaato ah, sidaas darteed hal galoob-badh ayaa lagu muujiyaa khariidad brojekshan. Fallaaraha ilayska ee borojekshanka samayntiisa saldhig u ah waa barbaro waxayna ku qotomaan sallaxa borojekshanka. "
borojekshan-toobineed,"borojekshan-toobineed m.l (-dyo, m.dh)(juqr.) Khariidad la sameeyo marka galoobka lagu wareejiyo warqad toobin oo kale u samaysan. Figta toobinku way ka sarraysaa cidhifka dhulka. Khariidadda waxaa lagu xardhaa toobinka dushiisa, dabadeedna toobinka ayaa la kala fidiyaa. "
boromiin,"boromiin m.dh (kiim.) Curiye hoor ah oo guduudan, firfircoonidiisuna heer dhexe tahay, kana tirsan haloojinnada (ururka VII ee tusaha kalgalka curiyayaasha). "
boronkiito,"boronkiito m.dh (daaw.) Halamacoodka dhuumaha neefta waxayna u kala baxdaa mid muddo gaaban (acute) iyo mid muddo dheer (chronic). Midda hore waxa lagu yaqaan: qufac xaako leh, isku roorid dhuumaha neefta; midda labaad waxaa lagu yaqaan: xab badan oo dhuumaha neefta ka xaruuma. "
borookaariyootig,"borookaariyootig m.l (-gyo, m.dh) (baay.) Noole walxaha hiddo-sidaha aanay ku xidhnayn bu'da unugga. "
boroolataariyad,boroolataariyad m.dh (siyaa.) Dabaqadda shaqaale ee waddan oo qaata mushahar la xiriira wax qabadkooda. 
borootiin,"borootiin m.l (-nno, m.dh) (baay.) Dheef asaasi u ah caafimaadka, jirdhiska oo laga helo cunnada la quuto qaar ka mid ah. "
borotiin-bu'eed,"borotiin-bu'eed m.l (-dyo, m.dh) (baay.) Iskudhis kasta oo laga helo unugyada noolaha kasta oo ka kooban asiidh bu'eedyo (DNA ama RNA) iyo borotiin isu tegay. "
borotista,"borotista m.dh (-ooyin, m.l) (baay.) Boqortooyo koobaysa kala soocidda noolayaasha sahlan ee bayoolajiyeed. Waxa ka mid ah aljiga, fangiga, bakteeriyada iyo borotosoowaha. "
borotobalaasam,borotobalaasam m.u (baay.) Walax miromiro leh ee ka kooban muxtawiyaadka nool ee unugga. Taa waxa looga jeedaa walxaha ku jira unugga oo dhan marka laga reebo daloollada waaweyn iyo walxaha markaa soo gelay ama la qashin saarayo. Waxay ka koobantahay bu' dhex taalla saytobalaasam xab oo kale ah. 
borotokool,borotokool m.l 1. Diiwaan. 2. Heshiis caalami ah oo ku saabsan habka loo maro xafladaha dibloomaasiga ah. 
borotoon,"borotoon m.l (-nno, m.dh) (kiim.) Saxar asaasi ah oo leh saldanab togan. B.nnadu waa iniin-bu'eedyo laga helo dhammaan bu'leyda. "
botani,"botani m.l Barashada cilmiyaysan ee dhirta oo ay ka mid yihiin anatamiga, morfoolojiga, bayookimistariga, abla-ablaynta, saytoolajiga, hiddo-barashada, ikoolojiga, tadawurka iyo filiqsanaantooda juqraafiyeed. "
bow,bow m.dh 1. Jug; b. sii: qof wax ku dhufasho. 2. (sh.r) B. dheh: cod lagu muujiyo dhufashada. 
bowbow,bowbow m.dh B. dheh: codka durbaanka iwm ay sameeyaan marka la tumo. 
bowd,"bowd m.l (-dad, m.l) Xeyndaab ood ah oo beerta, guriga, xerada xoolaha lagu wareejiyo, deyd. "
bowdabbaariile,"bowdabbaariile m.l (-layaal, m.l/dh) Meesha ay barida iyo bowdadu iska galaan. "
bowdaqaawi,"bowdaqaawi f.mg2 (-iyay, -isay) U b.: qof cid uusan doonayn in uu la dagaallamo ereyo iyo falal cabsi geliya u jeedin. "
bowdaqaawin,bowdaqaawin m.f.dh eeg bowdaqaawi. ld bowdaqaawis.
bowdaqaawis,bowdaqaawis m.l ld bowdaqaawin.
bowd-dumis,bowd-dumis m.l Xaal laga qaado nin naag meher xaday. 
bowdlameer,bowdlameer m.l Ood cusub oo la saaro bowd gaboobay. 
bowdlameeri,"bowdlameeri f.g2 (-iyay, -isay) Bowd, bowdlameer u samayn. "
bowdlameerin,bowdlameerin m.f.dh eeg bowdlameeri. 
bowdlameersan,"bowdlameersan f.mg4 (-naa, -nayd) Wax bowdlameeri la mariyey ahaansho. "
bowdlameersanaan,bowdlameersanaan m.f.dh eeg bowdlameersan. ld bowdlameersanaansho. 
bowdlameersanaansho,bowdlameersanaansho m.l/dh ld bowdlameersanaan.
bowdo,"bowdo m.dh (-ooyin, m.l) Lugta inteeda u dhexeysa lowga iyo sinta. "
bowsad,bowsad m.l ld bowsasho.
bowsasho,"bowsasho m.f.dh eeg bowso. ld bowsad, bowsi."
bowsi,bowsi m.l Aqoon kooban oo aan dugsi iyo macalin toos ah laga baran. ld bowsasho.
bowso,"bowso f.g3 (-stay, -satay) Aqoon kooban oo aan dugsi iyo macallin toos ah laga baran helid. "
boy¹,"boy¹ m.l (booyaad, m.l/booyaal, m.l/dh) Adeege, madiidin. "
boy²,"boy² f.mg1 (boyay, boysay) ld oy."
braagmatiismaha,"braagmatiismaha m.l Hab loo fikiro ama ku saabsan dhibaatada ficil ahaan, oo aan ahayn dariiq aragtiyeed. "
bu'¹,"bu'¹ m.dh (bu'o, m.l) 1. Isha nafleyda inteeda madow. 2. Afarta caloolood ee raamsatada middeed. 3. Cudur beeryarada barariya oo kaneecada laga qaado. 4. (sh.r) B. dheh: cod lagu muujiyo shanqar aad u badan. "
bu'²,"bu'² m.dh 1. (baay.) Jidh dhex yaallo saytobalaasamka unugyada, kaasoo ay ku jiraan walxaha hiddo side DNA. 2. (kiim.) Qaybta atamka ee saldanabeedku toganyahay, cufka atamkuna ka yimaado; b.du borotoonno iyo niyuutroonno ayay ka koobantahay; b.da atamka waxaa lagu muujin karaa summad tilmaamaysa tirada (cufka, borotoonnada, atamka) iyo curyaha magaciisa. "
bu'asho,bu'asho m.f.dh eeg bu'o. 
bub,bub m.dh Cayaar u eg shaxda oo ay ciyaaraan laba qof ama ka badan; yib; shantarad. 
bubbucood,"bubbucood m.l (-dyo, m.dh) Dhul buurar ciid ah iyo geedo leh. "
bucabbucayn,bucabbucayn m.dh ld buhabbuhayn.
bucabbucee,"bucabbucee f.g2 (-ceeyay, -ceysay) ld buhabbuhee."
bucasho,bucasho m.f.dh eeg buco. 
bucayn,bucayn m.dh ld bugayn. 
bucee,"bucee f.g2 (-ceeyay, -ceysay) ld bugee. "
buco,"buco f.mg3 (-cday, -catay) Badar la dubay xamur noqosho. "
bucshirad,bucshirad m.dh ld bucshiro (1).
bucshiro,"bucshiro m.dh 1. ld bucshirad. Ganacsi. 2. Alaab laga ganacsado, badeeco. 3. Nooc ka mid ah ciyaaraha turubka oo afarta warqadood ee badda taal la baayaco. "
buctureen,"buctureen m.l (bot.) Geed yar oo caleemo iyo ubax udgoon leh oo guryaha, xafiisyada iwm lagu beero. "
bucul,bucul m.dh.u Qodaxda geedka sarmaanta marka ay qallasho. 
bud¹,bud¹ m.l Ul lagu dagaallamo oo madaxa buuran; bur; garruun. ld bųr¹.
bud²,"bud² m.dh 1. Ciidda la tuuro qabriga dushiisa oo calaamad u ah. 2. Iil. 3. B. soo dheh: soo bixid (qorrax, dayax iwm). "
budaddar¹,budaddar¹ m.l Adkaynta soor lagu adkeeyo budo. 
budaddar²,"budaddar² f.g1 (-ray, -rtay) Soor bislaatay budo ku adkayn. "
budaddaran,"budaddaran f.mg4 (-rnaa, -rnayd) Soor, wax la buddadaray ahaansho. "
budaddarid,budaddarid m.f.dh eeg budaddar². 
budaddarnaan,budaddarnaan m.f.dh eeg budaddaran. ld budaddarnaansho.
budaddarnaansho,budaddarnaansho m.l/dh ld budaddar-naan.
budayn,budayn m.f.dh eeg budee. 
bud-dhig¹,bud-dhig¹ m.l (dii.) Dhigitaanka qof dhintay iilka la dhigo. ld bud-dhigid.
bud-dhig²,"bud-dhig² f.g1 (-gay, -gtay) (dii.) Qof dhintay iil gelin. "
bud-dhige,"bud-dhige m.l (-gayaal, m.l/dh) Qofka qofka dhintay dad ugu xiga oo buddhiggiisa leh. "
bud-dhigid,bud-dhigid m.f.dh eeg bud-dhig². ld bud-dhig¹.
buddi,"buddi m.l (-iyiin, m.dh) (dii.) Qof raacsan diinta loo yaqaan buddiyadda. "
budee,"budee f.g2 (-deeyay, -daysay) Wax budo ka dhigid. "
budli,"budli f.g2 (-iyay, -isay) Wax aad u jilcin ama budul ka dhigid. "
budlin,budlin m.f.dh eeg budli. ld budlis.
budlis,budlis m.l ld budlin.
budo,budo m.dh Wax aad loo daqiiqay oo bito laga dhigay. 
budoobid,budoobid m.f.dh eeg budow². ld budow¹.
budow¹,budow¹ m.l Ka hariwaayidda laga hariwaayo xaajo la bartay oo la qaayibay. ld budoobid.
budow²,"budow² f.mg1 (-oobay, -owday; -oobi) Ka hariwaayid wax la bartay oo la qaayibay. "
budul,"budul m.l (-llo, m.dh) 1. Meel xoolaha marintoodu ay jilcisay oo habaas ka dhigtay. 2. Dariiq la maro, daw, tub, dhabbe. 3. Wax la tumay oo budo laga dhigay. "
bug¹,bug¹ m.dh.sh.r B. dheh: cod lagu muujiyo qarax ama dhac. 
bug²,"bug² f.mg1 (bukay, bugtay; buki) Qof, wax bukaan ah ahaansho. "
bugayn,"bugayn m.f.dh eeg bugee. ld bucayn, buhayn."
bugcad,"bugcad m.dh (-do, m.l) Meel bannaan, dhulka intiisa kale ka sarreyso oo ciid jilicsan leh. ld buqcad."
bugee,"bugee f.g2 (-geeyay, -geysay) Cid si aan halis ahayn u garaacid. ld bucee, buhee."
bugtaan,bugtaan m.l ld bukaan.
bugto,bugto m.dh Cudur. 
bugux,bugux m.l Dhanka ay qorraxdu u dhacdo; galbeed. ld bogox.
buhabbuhayn,"buhabbuhayn m.dh eeg buhabbuhee. ld bucabbucayn, bukabbukayn."
buhabbuhee,"buhabbuhee f.g2 (-heeyay, -heysay) Cid si aan halis ahayn u garaacid. ld bucabbucee, bukabbukee (2)."
buhayn,buhayn m.dh ld bugayn.
buhee,"buhee f.g2 (-heeyay,-heysay) ld bugee. "
buji,"buji f.g2 (-iyay, -isay) 1. Wax sida haan iwm haruub ka qaadid. 2. Wax meel ka duleelin. "
bujin,bujin m.f.dh eeg buji. 
bukaan,"bukaan m.l (-nno, m.dh) Qof bugta badan, jirroole. ld bugtaan."
bukaani,bukaani m.l ld bukǫoni
bukaanjiif,"bukaanjiif m.l (-fyo, m.dh) Qof bukaan ah oo isbitaal la seexshay si loo daaweeyo. "
bukaannimo,bukaannimo m.dh Bukaan ahaansho. 
bukaanqaad,"bukaanqaad m.dh (-dyo, m.dh) Sariirta yar ee lagu qaado qofka aad u jirran. "
bukaansocod,"bukaansocod m.l (-dyo, m.dh) 1. Qof jirran oo socon kara oo lugtiisa ku taga meeshii uu iska daaweyn lahaa. 2. Bukaansocod-eegto. "
bukaansocod-eegto,"bukaansocod-eegto m.dh (-ooyin, m.l) Meesha dadka jirran lagu baaro cudurradooda oo lagu daaweeyo, laakiin aaney seexan. "
bukaan-wareysi,"bukaan-wareysi m.l (daaw.) Wareysiga bukaanka oo uu takhtarku ka qoro, kana kooban: a) war bukaan qoyseed; b) war bukaan qofeed; c) war bukaan cudur hore; d) war bukaan cudurdambe. "
bukaar,bukaar m.dh ld bakaar.
bukabbukayn,bukabbukayn m.dh 1. ld bukayn. eeg bukabbukee. 2. ld buhabbuhayn.
bukabbukee,"bukabbukee f.g2 (-keeyay, -kaysay) 1. ld bukee. Wax garaacid si lagu jilciyo. 2. ld buhabbuhee."
bukasho,bukasho m.f.dh eeg buko. ld bukood.
bukayn,bukayn m.dh ld Bukaysiin; bukabbukayn.
bukaysii,"bukaysii f.g2 (-iiyay, -iisay) 1. Nafley bukaan ka dhigid (Ilaah). 2. Wax bukaan ah iska dhigid. ld bukee."
bukaysiin,bukaysiin m.f.dh eeg bukaysii. ld bukayn.
bukee,"bukee f.g2 (-keeyay, -kaysay) ld bukaysii; bukabbukee."
bukid,bukid m.f.dh eeg bug². 
buko,"buko f.mg3 (-kaday, -katay) Wax bukaan ah noqosho. ld bukoo."
bukoo,"bukoo f.mg3 (-ooday, -ootay) ld buko."
bukood,bukood m.l ld bukasho.
bukǫoni,bukǫoni m.l Moos waaweyn oo la kariyo. ld bukaani.
bukur¹,"bukur¹ m.l (-rro, m.dh) Haruubka dhiil ama aagaan yar. "
bukur²,"bukur² m.dh (-ro, m.l) Dhiil ama aagaan yar oo caanaha lagu shubto. "
bul¹,"bul¹ m.l (-lal, m.l) 1. Miiqyo badan oo dun, mayrax iwm ah oo salka isaga xiran waxna lagu qurxiyo. 2. Saynta ka laallaadda dabada nafleyda qaarkeed inteeda dambe. "
bul²,"bul² f.g1 (bulay, bushay) Mayrax, dun iwm miiqyo yaryar ka dhigid. "
bulaal¹,bulaal¹ m.l ld bulaalid.
bulaal²,"bulaal² f.mg1 (-aalay, -aashay) 1. Nafley taran iyo barwaaqo helid. 2. Wax tiradooda iyo tayadooda badasho. "
bulaali,"bulaali f.g2 (-iyay, -isay) Nafley taran iyo barwaaqo siin (Eebbe). 2. Wax tiradooda iyo tayadooda badin. "
bulaalid,bulaalid m.f.dh eeg bulaal². ld bulaal¹.
bulaalin,bulaalin m.f.dh eeg bulaali. 
bulaamid,bulaamid m.f.dh eeg bulaan². ld bulaan¹.
bulaan¹,bulaan¹ m.l 1. Cod weyn aan ereyadiisu sugnayn oo dad badan oo isku mar hadlaya sameeyaan. 2. ld bulaamid.
bulaan²,"bulaan² f.mg1 (-aamay, -aantay; -aami) Dad badan oo isku mar hadlaya codweyn oo aan ereyadiisu sugnayn sameyn. "
bulac,bulac m.l ld mulac.
bulan,"bulan f.mg1 (-lmay, -lantay; -lmi) Ul qoyan, maro iwm bul yeelasho; sii gurmid. "
bulay,bulay m.l Mayrax feeran oo haamaha bul lagu catireeyo. 
bulayn,bulayn m.f.dh eeg bulee. 
bulaysan,"bulaysan f.mg4 (-snaa, -snayd) Wax bul loo yeelay ahaansho. "
bulaysnaan,bulaysnaan m.f.dh eeg bulaysan. ld bulaysnaansho.
bulaysnaasho,bulaysnaasho m.l/dh ld bulaysnaan.
bulbul¹,bulbul¹ m.l B. ku ah: cilmi aqoon aad u sarreysa loo yeesho. 
bulbul²,"bulbul² m.dh Dhogor badan, dhaadheer, jilicsan oo ay nafleyda qaarkeed yeelato. "
buldi¹,"buldi¹ m.l (-iyo, m.dh) Bir dhagax iwm oo xarig dheer ku xiranyahay oo lagu cabbiro qotada biyaha badda, webiga iwm. "
buldi²,"buldi² f.g1 (-iyay, -isay; -iyi) Biyo bad, webi iwm qotodooda cabbirid. "
buldiyid,buldiyid m.f.dh eeg buldi². 
bule,"bule m.l (-layaal, m.dh) Qof habeeya ama isku duwa hawsha riwaayadda ama filinka. "
bulee,"bulee f.g2 (-leyay, -laysay) Maro, ul iwm bul u yeelid. "
buli,buli m.dh Shimbir-malab. 
bulid,bulid m.f.dh eeg bul². 
buliis,buliis m.l ld boliis.
bullaacad,"bullaacad m.dh (-do, m.l) God musqul, dhuumaha qaada wasakhda musqulaha. "
bullaale,bullaale m.l 1. Faras midabka dambarka leh. 2. Nooc ka mid ah jaadadka gorgorka. 
bullo,"bullo m.dh 1. Ciyaar hiddaha iyo dhaqanka ka mid ah, ragga iyo haweenku wada ciyaaraan, leh jiib, jaan, buun, durbaan iyo biro la isku garaaco. 2. B. ah: midab fardood dambarka u eg. "
bulmid,bulmid m.f.dh eeg bulaan. 
bulshannimo,bulshannimo m.dh Bulshey ahaansho. 
bulshee,"bulshee f.g/mg2 (-sheeyay, -sheysay) 1. (f.g) Qof bulshey ka dhigid. 2. (f.mg) Ciyaar, dhalinyareyn iwm wakhti ku lumin. "
bulshey,bulshey m.l Qof dhaqan iyo anshax wanaagsan kula dhaqma bulshada uu la noolyahay. 
bulsheyn,bulsheyn m.f.dh eeg bulshee. 
bulsheynimo,bulsheynimo m.dh Bulshey ahaansho. 
bulsho,"bulsho m.dh (-ooyin, m.l) Dad meel ku wada nool oo isku dan ah. "
bulu,"bulu m.l/dh (-llo, m.dh) Dhasha biciidka. ld bulul."
bulukaati,bulukaati m.l.kh Bir-xaar dusha dheen dahab ahi ka marsanyahay. 
bulukeeti,"bulukeeti m.l (-iyo, m.dh) Saddex-jibaarane yar, ka samaaysan ciid bataax ah iyo shamiito la isku qasay oo guryaha lagu dhisto; jaajuur. "
bulul,"bulul m.l (-llo, m.dh) ld bulu."
bulumbulyo,"bulumbulyo m.dh (-ooyin, m.l) Cayayaan yar, u eg suuska badarka gala oo qoryaha dhuuxooda burburiya; xar. "
buluqbuluq,buluqbuluq m.l/dh 1. Buluqbuluqleynta. 2. B. ah: qof buuran oo hilib jilicsan leh. 2. (sh.r) B. dheh: cod lagu muujiyo shanqar mayridda ah. 
buluqbuluqlee,"buluqbuluqlee f.mg2 (-qeeyay, -qeysay) Hilibka saaran nafley aad u cayishay ruxasho. "
buluqbuluqleyn,buluqbuluqleyn m.f.dh eeg buluqbuluqlee. 
bulush,"bulush m.l Miiqyo badan oo dun, mayrax iwm ah oo salka isaga xiran waxna lagu qurxiyo. "
buluto,buluto m.dh Meereyaasha qorraxda kan ugu dambeeya ee ugu fog. 
buluug,"buluug m.l 1. Midab kan cirka ama badda oo kale ah. 2. Qurus yar, budo buluug ah ka samaysan oo dharka cad la geliyo si midabkiia loo khafiifiyo. "
bulxamid,bulxamid m.f.dh eeg bulxan². 
bulxan¹,bulxan¹ m.l Cod nafley badani isku darto oo farxad iyo qosol leh. 
bulxan²,"bulxan² f.mg1 (-amay, -antay; -ami) Nafley badan cod farxad iyo qosol leh samayn. "
bumbo,"bumbo m.dh (-ooyin, m.l) ld bambaano."
bun,"bun m.l 1. Geed dhulka kulul ka baxa, dhala miro kuuskuusan oo beer iyo qolof adag leh. 2. Miraha geed bunka oo laga sameeyo qaxwaha, kafee. 3. Miraha bunka oo saliid ma subag lagu shiilay. "
bunaaxi¹,bunaaxi¹ m.l ld banaaxiyid.
bunaaxi²,"bunaaxi² f.mg1/2 (-iyay, -iday/-isay; -iyi) ld banaaxi²."
bunaaxin,bunaaxin m.dh ld banaaxiyid.
bunaaxis,bunaaxis m.l ld banaaxiyid.
bunaaxiyid,bunaaxiyid m.dh ld banaaxiyid.
bunaaxo,bunaaxo m.dh ld banaaxo.
bunaysad,bunaysad m.l ld bunaysasho.
bunaysasho,"bunaysasho m.f.dh eeg bunayso. ld bunaysad, bunaysi."
bunaysi,bunaysi m.l ld bunaysasho.
bunayso,"bunayso f.mg3 (-stay, -satay) 1. Bun la shiilay cunid. 2. Saliid ama subag bun lagu shiilay marsasho. "
bunbay,bunbay m.l Bir af dhuuban oo lagu eego muunada badar jawaan ku jira; kasbo¹. 
bundad,"bundad m.dh (-do, m.l) Xirmo dhar ah oo ka kooban dhawr daaqadood. "
bundaqiijiye,"bundaqiijiye m.l (-yayaal, m.l/dh) Makiinadda bunka lagu shiido. "
bunduq,bunduq m.l ld buntuq.
bungaree,"bungaree f.g2 (-reeyay, -raysay) ld bamgaree."
bungareyn,bungareyn m.dh ld bamgareyn.
bungis,bungis m.l ld bunkis.
bunji,"bunji m.l Xarig badan oo dhumuc weyn leh oo laga sameeyay xaskusha, boocda iwm. "
bunkis,bunkis m.l Baqshad. ld bungis. 
bunnaahi¹,bunnaahi¹ m.l ld banaaxiyid.
bunnaahi²,"bunnaahi² f.mg1/2 (-iyay, -iday/-isay) ld banaaxi²."
bunnaahin,bunnaahin m.dh ld banaaxiyid.
bunnaahis,bunnaahis m.l ld banaaxiyid.
bunnaahiyid,bunnaahiyid m.dh ld banaaxiyid.
bunnaasho,bunnaasho m.dh ld banaaxo.
buntuq,"buntuq m.l (banaadiiq/banatiiq/-qyo, m.dh) Hub fudud, leh dhuun xabbaduhu maraan oo ilaa ilqabato wax ka dila. ld bunduq, dumbuq."
bunuug,bunuug m.dh.w eeg banki. 
bu'o,"bu'o f.mg3 (-'day, -'dday) Weel cadaadiska gudahiisa ku jira oo aad u batay awgeed furtuurid. "
buq¹,"buq¹ m.dh (-qo, m.l) 1. Meesha ay biyaha ka soo burqadaan. 2. Ceel biyo badan leh. 3. Hogaha shaxda midka dhexda ku beegan. "
buq²,"buq² m.dh (-qo, m.l) 1. (jool.) Qulqul biyood joogto ama xilliyeed oo dhulka ka imaanaya, wuxuu samaysmaa marka biyaha roobku dhulka hoos u galaan ilaa bar gaar ah, halkaasoo ay ku ururaan aakhiritaankana ay kor u soo burqadaan. 2. (juqr.) Loolalka dhexena waa xilliga jilaalka ku xiga, xiddigis ahaanna loo tixgeliyo inuu ku dhammaado kubbadbadhka woqooyi min caanomaallada isle'eg ee Guga (ilaa 21 maarso) ilaa hornaqa xagaaga (ilaa 21 juun). "
buq³,"buq³ f.mg1 (-qay, -qday) Biyo, neef, gaas iwm oo inta xoog ku soo baxa, daboolkii celinayay tuura ama jeexa; dillaacid; burqasho; qarxasho. "
buqad,buqad m.l ld buqasho.
buqasho,"buqasho m.f.dh eeg buqo. ld buqad, buqid."
buqbuqayn,buqbuqayn m.f.dh eeg buqbuqee. 
buqbuqee,"buqbuqee f.g2 (-qeeyay, -qaysay) Caano, buqbuqo ka dhigid. "
buqbuqo,buqbuqo m.dh Caano ciir ah iyo kuwo dhay ah oo la isku daray. ld buqbuqood.
buqbuqood,buqbuqood m.l ld buqbuqo.
buqcad,buqcad m.dh ld bugcad.
buqid,buqid m.f.dh eeg buq³. 
